20	19.5	45	19.95	11	46	11.46
19	19.5	35	19.85	11.5	5	11.55
18	19.5	23	19.73	11.5	17	11.67
17	19.5	11	19.61	11.5	27	11.77
16	19	49	19.49	11.5	40	11.9
15	19	38	19.38	12	3	12.03
14	19	25	19.25	12	14	12.14
13	19	9	19.09	12	27	12.27
12	18.5	45	18.95	12	41	12.41
11	18.5	33	18.83	12.5	6	12.56
10	18.5	17	18.67	12.5	20	12.7
9	18.5	1	18.51	12.5	36	12.86
8	18	33	18.33	13	3	13.03
7	18	17	18.17	13	18	13.18
6	18	1	18.01	13	34	13.34
5	17.5	29	17.79	13.5	7	13.57
4	17.5	5	17.55	13.5	29	13.79
3	17	26	17.26	14	3	14.03
2	16.5	47	16.97	14	41	14.41
1	16.5	16	16.66	14.5	26	14.76
